urn	n	speaker	raw_word	pos	lemma
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:18@πάρεστιν	18	Ὀδυσσεύς	πάρεστιν	verb	πάρειμι
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:18@ἐνθάκησις,	18	Ὀδυσσεύς	ἐνθάκησις,	noun	ἐνθάκησις,
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:18@ἐν	18	Ὀδυσσεύς	ἐν	adposition	ἐν
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:18@θέρει	18	Ὀδυσσεύς	θέρει	noun	θέρος
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:18@δʼ	18	Ὀδυσσεύς	δʼ	adverb	δʼ
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:18@ὕπνον	18	Ὀδυσσεύς	ὕπνον	noun	ὕπνος
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:19@διʼ	19	Ὀδυσσεύς	διʼ	adposition	διʼ
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:19@ἀμφιτρῆτος	19	Ὀδυσσεύς	ἀμφιτρῆτος	adjective	ἀμφιτρῆτος
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:19@αὐλίου	19	Ὀδυσσεύς	αὐλίου	noun	αὐλίον
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:19@πέμπει	19	Ὀδυσσεύς	πέμπει	verb	πέμπω
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:19@πνοή·	19	Ὀδυσσεύς	πνοή·	noun	πνοή
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:20@βαιὸν	20	Ὀδυσσεύς	βαιὸν	adjective	βαιός
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:20@δʼ	20	Ὀδυσσεύς	δʼ	adverb	δʼ
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:20@ἔνερθεν	20	Ὀδυσσεύς	ἔνερθεν	verb	νέρω
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:20@ἐξ	20	Ὀδυσσεύς	ἐξ	adposition	ἐκ
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:20@ἀριστερᾶς	20	Ὀδυσσεύς	ἀριστερᾶς	adjective	ἀριστερός
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:20@τάχʼ	20	Ὀδυσσεύς	τάχʼ	adverb	τάχʼ
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:20@ἂν	20	Ὀδυσσεύς	ἂν	adverb	ἄν
